Message,Prediction,Topic
"

Dr. willian Horatio Bates born 1860 and graduated from med school
1885.  Medical career hampered by spells of total amnesia.  Published in
1920, his great work ""The Cure of Imperfect Eyesight by Treatment With-
out Glasses"", He made claims about how the eye actually works that are
simply NOT TRUE.  Aldous Huxley was one of the more ""high profile""
beleivers in his system.  Mr. Huxley while giving a lecture on Bates system
forgot the lecture that he was supposedely reading and had to put the
paper right up to his eyes and then resorted to a magnifying glass from
his pocket.  book have been written debunking this technique, however
they remain less read than the original fraud.  cheers

           jc@oneb.almanac.bc.ca (John Cross)
     The Old Frog's Almanac  (Home of The Almanac UNIX Users Group)    
(604) 245-3205 (v32)    <Public Access UseNet>    (604) 245-4366 (2400x4)
        Vancouver Island, British Columbia    Waffle XENIX 1.64  
",M,M
"

Last week I asked for help in getting an old homemade amp working with
my Sun CD-ROM drive. It turns out that the channel I was testing with
was burned out in the amp. The other channel works fine.

So now I need a new amplifier chip. My local Radio Shack no longer
carries components! The chip is a 12 pin SIP (?) labelled with BA5406
and then ""502 515"" below that.

Does anyone have a source? Thanks,
-- 
Bill Morrow    Clinical Neurosciences, University of Calgary
e-mail: morrow@cns.ucalgary.ca voice: (403) 220-6275 fax: (403) 283-8770 
3330 Hospital Drive NW Calgary, Alberta, CANADA T2N 4N1
",E,E
"

Brenda Bowden (brenda@bookhouse.Eng.Sun.COM) wrote:

: Does anyone know about these studies? Or have experience with feverfew?

I keep an accurate log of my migraine attack frequency; feverfew didn't
seem to do anything for me.  However, eliminating caffeine seems to pre-
vent the onset of migraine in my case.  In other words, no caffeine, no 
migraines.

Don Montgomery
donrm@sr.hp.com

",E,M
"

In article <westesC60xqF.59r@netcom.com>, westes@netcom.com (Will Estes) writes:
>Does anyone know of research done on the use of haldol in the elderly?  Does 
>short-term use of the drug ever produce long-term side-effects after
>the use of the drug?  My grandmother recently had to be hospitalized
>and was given large doses of haldol for several weeks.  Although the
>drug has been terminated, she has changed from a perky, slightly
>senile woman into a virtual vegetable who does not talk to anyone
>and who cannot even eat or brush her teeth without assistance.  It
>seems incredible to me that such changes could take place in the
>course of just one and one-half months.  I have to believe that the
>combination of the hospital stay and some drug(s) are in part
>catalysts for this.  Any comments?
>
>-- 
>Will Estes		Internet: westes@netcom.com

Haldol, one of the wonder drugs that works wonders.  If you're a carrot that
is.
***************************************************************************
Henry Dunham (Chip) EMT-D, NREMT
Coordinator of EMS Operations
Houston Field House EMS
HD0022@albnyvms.bitnet
***************************************************************************
",M,M
"

crisp@ecsvax.uncecs.edu (Russ Crisp) writes:

>SO..  Here's my question.  It seems to me that I'd have the
>same electrical circuit if I hooked a jumper from the neutral
>over to the ground screw on new 'three prong' grounding outlets.
>What's wrong with my reasoning here?  

May I respectfully suggest you NOT do this??  The ground is
supposed to be a protective ground, and though what you suggest
looks good on paper, it's dangerous to rely on the same wire for
power and protection.  It'd never meet code, and if you now own
the property and later sell it, you may end up with liabilities
you don't want, and if you _don't_ now own it, well...

There's a ""wiring"" FAQ that I think addresses this.  I believe
an alternative is use of a GFCI, but I'm really not sure what
current code allows in this area.  The GFCI senses alternate
(unwanted) current paths, and doesn't rely on a specific
protective ground wire, at least not beyond the GFCI in the
protected circuit.  GFCI breakers are available (but expensive).

",E,E
"


	I was kind of half watching Street Stories last night
	and one of the segments was about this doctor in
	S.F. who provides a service of investigating treatment
	for various diseases. I'm pretty sure his name is
	Dr. Mark Renniger (sp?) or close to that. 
	Did anyone else watch this? I'd like to get his
	correct name and address/phone number if possible.
	Thanks.
",E,M
"

In article <1rm2bn$kps@transfer.stratus.com> Randy_Faneuf@vos.stratus.com writes:
>
> Someone please help me. I am searching to find out (as many others may)
>an absolute 'cure' to removing all detectable traces of marijuana from
>a persons body. Is there a chemical or natural substance that can be
>ingested or added to urine to make it undetectable in urine analysis.
>If so where can these substances be found. 

You could do what I do: never go near the stuff!  :)


-- 
:-  Michael A. Covington, Associate Research Scientist        :    *****
:-  Artificial Intelligence Programs      mcovingt@ai.uga.edu :  *********
:-  The University of Georgia              phone 706 542-0358 :   *  *  *
:-  Athens, Georgia 30602-7415 U.S.A.     amateur radio N4TMI :  ** *** **  <><
",E,M
"

The Casio 7500 lectric diary has a 3-wire serial interface with param
setting like RS232, for which one get a magic but expensive cable to
connect to a PC. Does anyone know the spec of this interface, e.g., it
needs inverting and boosting from CMOS signals to match RS232 lines?
-- 
Chris Malcolm    cam@uk.ac.ed.aifh          +44 (0)31 650 3085
Department of Artificial Intelligence,    Edinburgh University
5 Forrest Hill, Edinburgh, EH1 2QL, UK                DoD #205
",E,E
"
Nntp-Posting-Host: goyt.csc.liv.ac.uk


>> telephone systems have the capability of a passband of 30hz to 4Khz.
>> The reason they do not implement this is: It is not backward compatable
>> to every telephone system.  In addition, the most effecent mix of 
>> electrical effecency, and intelegability closly mateches a 300hz-3khz
>> passband.
>
>Close, but no banana (to paraphrase Garfield)...
>The reason 300-3300 Hz is used is that voice channels used to occupy
>4kHz bands when multiplexed on a trunk line. Therefore, 300Hz at the
>bottom, and 700Hz at the top of this band were filtered to minimise
>interference with the next band.
>
>Nowadays, digital trunks have made this less relevant, but the phone
>companies still see no reason to improve quality (especially for free!).
>Therefore, digital ""chunk of a trunk"" segments still have a guaranteed
>bandwidth of only 4kHz (so they can carry the equivalent of one analog
>line) at the clock rate of a standard PCM T1 or E1 digital trunk.
>
>It's all historical...


Here in the UK, the bandwidth restriction apparently only apply to 
local lines.. ie those used by the average domestic client. Private
lines which are run from the local exchange to the leasing client are 
usually capable of a higher bandwidth if the exchange is digital.

Don't quote me on that..... But I think I remember a BT engineer 
saying something to that effect when I was doing some work
shadowing a few years ago.

Byeeeee !


Chris ;-)

  +====================================================================+
  |Name : Mr Chris Smith       |     Twang on that 'ole guitar !       |
  |Addrs: scst83@uk.ac.liv.csc |                                       |
  |Uni  : Liverpool University |Quest: To build more and more hardware |
  |Dgree: Computer Science     |                                       |
  +====================================================================+

 ""What ever the sun may be, it is certainly not a ball of flaming gas!""
  -- D.H. Lawrence.

 * All views expressed are my own, and reflect that of private thought. *
",E,E
"
Message-ID: <1quci2INN506@fmsrl7.srl.ford.com>
NNTP-Posting-Host: slee01.srl.ford.com
X-Newsreader: Tin 1.1 PL5

[ Article crossposted from comp.windows.ms ]
[ Author was Kevin Routh ]
[ Posted on 19 Apr 1993 12:35:55 GMT ]

For your information:

I hooked up my ImageWriter I to my COM1 serial port and used the C-Itoh
8510 driver in Windows 3.1.  The cable I am using is a straight-thru
cable connected to a Null Modem Adapter I got at Radio Shack (catalog
#26-1496a) for $4.95.  It seems to work fine with both DOS and Windows.
I used the following command in DOS

	C:\DOS\mode COM1:9600,n,8,1,p

and set up the port the same way in the Windows Ports setup.

the Null Modem connections are as follows:

	1	to	1
	2	to	3
	3	to	2
	4	to	5
	5	to	4
	6+8	to	20
	20	to	6+8
	7	to	7

I printed from several applications and all seems OK.  

-- 
Kevin C. Routh                     Internet:    krouth@slee01.srl.ford.com
Ford Electronics                   IBMmail (PROFS):               USFMCTMF
ELD IC Engineering
17000 Rotunda Drive, B-121         Voice mail:              (313) 337-5136
Dearborn, MI  48121-6010           Facsimile:               (313) 248-6244



--
Kevin C. Routh                     Internet:    krouth@slee01.srl.ford.com
Ford Electronics                   IBMmail (PROFS):               USFMCTMF
ELD IC Engineering
17000 Rotunda Drive, B-121         Voice mail:              (313) 337-5136
Dearborn, MI  48121-6010           Facsimile:               (313) 248-6244


--
Kevin C. Routh                     Internet:    krouth@slee01.srl.ford.com
Ford Electronics                   IBMmail (PROFS):               USFMCTMF
ELD IC Engineering
17000 Rotunda Drive, B-121         Voice mail:              (313) 337-5136
Dearborn, MI  48121-6010           Facsimile:               (313) 248-6244

",E,E
"

In article <1993Apr27.182155.23426@oswego.Oswego.EDU>, Harry Matthews writes...
> 
> I've heard of community swimming pools refered to as PUBLIC URINALS so what
> else is going on?

    Do you swim nude in a public swimming pool?  :)  I doubt sperm can
penetrate swimsuit material, assuming they aren't immediately dispersed
by water currents.
-- 
Brian Tao:: taob@r-node.hub.org (r-Node BBS, 416-249-5366, FREE!)
::::::::::: 90taobri@wave.scar.utoronto.ca (University of Toronto)
",M,M
"

mcole@spock (COLE) writes:

>I would like to experiment with the INTEL 8051 family.  Does anyone out  
>there know of any good FTP sites that might have compiliers, assemblers,  
>etc.?

Try lyman.pppl.gov -- /pub/8051

-- 
Brian Day                                       bday@lambda.msfc.nasa.gov
New Technology, Inc.                            (205) 461-4584
Mission Software Development Division           Opinions are my own -
",E,E
